A,B,C,D,E,F
82.268,164.536,35.4703,70.9406,16.0051,32.0102
33.9054,67.8108,42.7315,85.463,44.5235,89.0471
83.3162,166.632,55.0169,110.034,74.1293,148.259
8.16021,16.3204,55.3517,110.703,3.69371,7.38742
52.439,104.878,81.634,163.268,57.5967,115.193
87.7314,175.463,8.19,16.38,64.1417,128.283
93.161,186.322,65.1486,130.297,42.578,85.156
74.5033,149.007,12.5643,25.1285,31.1105,62.221
87.8457,175.691,21.8279,43.6558,93.764,187.528
64.0717,128.143,96.0588,192.118,82.3822,164.764
9.21509,18.4302,61.3983,122.797,2.4772,4.9544
23.5301,47.0601,54.4111,108.822,72.4459,144.892
51.1973,102.395,26.6703,53.3407,38.3862,76.7724
57.7069,115.414,58.9892,117.978,58.4206,116.841
79.2392,158.478,35.2053,70.4107,81.8634,163.727
58.5126,117.025,80.2741,160.548,76.9559,153.912
46.7857,93.5713,50.5479,101.096,91.3311,182.662
97.8816,195.763,51.1653,102.331,67.6404,135.281
92.1007,184.201,72.5405,145.081,61.7209,123.442
79.507,159.014,70.5511,141.102,33.5643,67.1285
29.2435,58.487,26.7515,53.503,78.8693,157.739
38.7631,77.5261,11.644,23.288,46.8003,93.6007
67.128,134.256,1.22065,2.44129,94.259,188.518
34.6906,69.3812,53.8148,107.63,5.88537,11.7707
55.546,111.092,9.49582,18.9916,67.9939,135.988
93.3603,186.721,82.6059,165.212,1.82147,3.64294
26.1672,52.3343,55.7889,111.578,30.8377,61.6754
32.8986,65.7973,56.6809,113.362,9.53497,19.0699
50.4722,100.944,53.8482,107.696,89.1095,178.219
60.2087,120.417,13.9554,27.9108,29.6355,59.2711
91.3086,182.617,70.3684,140.737,9.9565,19.913
58.6445,117.289,80.7718,161.544,96.6225,193.245
91.9126,183.825,48.0523,96.1045,41.1581,82.3162
32.6463,65.2926,50.0888,100.178,31.1121,62.2243
15.2942,30.5883,28.8056,57.6113,68.6281,137.256
77.7484,155.497,44.6719,89.3437,56.7016,113.403
43.4194,86.8388,21.4144,42.8289,28.5063,57.0126
69.6934,139.387,8.16904,16.3381,30.6587,61.3173
80.676,161.352,44.7403,89.4805,41.5853,83.1706
52.303,104.606,82.9363,165.873,65.7083,131.417
21.21,42.4199,68.4453,136.891,71.2976,142.595
85.5839,171.168,57.6877,115.375,28.2617,56.5234
51.6361,103.272,70.0813,140.163,99.7149,199.43
32.7615,65.523,44.0958,88.1916,77.1846,154.369
12.2887,24.5774,2.80218,5.60437,10.3197,20.6393
44.7833,89.5666,84.8497,169.699,1.64552,3.29103
95.632,191.264,25.992,51.9839,12.683,25.366
13.0629,26.1259,18.1683,36.3366,71.451,142.902
18.2272,36.4544,45.8876,91.7752,33.9641,67.9282
70.047,140.094,36.5511,73.1022,30.3607,60.7214
89.5109,179.022,23.4209,46.8418,59.7011,119.402
27.9698,55.9396,43.1843,86.3686,94.3196,188.639
35.1016,70.2031,23.4463,46.8927,98.735,197.47
89.116,178.232,31.2914,62.5827,84.7422,169.484
18.3544,36.7089,0.894314,1.78863,90.5991,181.198
20.4162,40.8324,38.1631,76.3261,34.558,69.116
69.1825,138.365,9.05792,18.1158,18.0431,36.0862
19.3087,38.6175,31.0995,62.199,63.1674,126.335
76.3773,152.755,94.8385,189.677,8.64213,17.2843
86.8297,173.659,35.8959,71.7918,40.1114,80.2229
88.9822,177.964,57.4874,114.975,49.1385,98.2771
4.75449,9.50899,87.6038,175.208,34.304,68.6079
23.6348,47.2696,13.1106,26.2212,75.9349,151.87
1.09251,2.18501,51.9977,103.995,0.553518,1.10704
31.9149,63.8297,97.7438,195.488,55.6687,111.337
0.769496,1.53899,78.546,157.092,26.5492,53.0985
72.9521,145.904,43.8467,87.6934,64.5266,129.053
2.64164,5.28327,23.7268,47.4537,23.5032,47.0064
2.88969,5.77939,58.4138,116.828,55.6718,111.344
74.0999,148.2,49.5979,99.1959,19.1975,38.3949
49.9156,99.8312,54.1781,108.356,66.6607,133.321
38.7848,77.5695,66.2663,132.533,72.0702,144.14
43.7505,87.5009,15.7435,31.4871,41.6646,83.3291
1.67746,3.35492,96.4496,192.899,5.64416,11.2883
68.9351,137.87,23.152,46.304,0.8861,1.7722
64.3207,128.641,74.4093,148.819,75.5856,151.171
8.89523,17.7905,87.1255,174.251,0.735821,1.47164
49.77,99.54,99.8361,199.672,15.1712,30.3423
5.69749,11.395,47.1458,94.2915,40.3831,80.7663
17.7157,35.4315,74.929,149.858,5.5803,11.1606
43.9145,87.8289,60.6712,121.342,5.6541,11.3082
78.3516,156.703,70.2924,140.585,35.9969,71.9938
51.9293,103.859,96.2548,192.51,14.4954,28.9909
96.0518,192.104,70.2087,140.417,32.962,65.9239
36.3185,72.637,29.9898,59.9795,77.4746,154.949
43.5422,87.0843,2.09425,4.1885,37.3431,74.6861
48.1551,96.3103,83.5916,167.183,4.50882,9.01765
73.9303,147.861,29.6091,59.2183,41.3242,82.6485
37.3081,74.6162,14.7426,29.4853,75.5936,151.187
7.79439,15.5888,4.70984,9.41969,52.2634,104.527
26.7045,53.4091,81.2727,162.545,56.8828,113.766
39.2562,78.5124,32.0791,64.1582,24.4546,48.9091
1.87846,3.75692,56.6152,113.23,56.5756,113.151
88.7734,177.547,67.1356,134.271,59.0676,118.135
19.5993,39.1986,6.68474,13.3695,42.1068,84.2136
0.0190842,0.0381685,28.662,57.324,30.2721,60.5441
19.1462,38.2924,30.5786,61.1572,76.2555,152.511
41.8454,83.6908,82.7773,165.555,70.6727,141.345
56.3653,112.731,24.4826,48.9653,83.4448,166.89
62.707,125.414,89.4211,178.842,8.37925,16.7585
80.7384,161.477,83.6716,167.343,80.7617,161.523
67.299,134.598,87.8083,175.617,80.4904,160.981
37.3058,74.6116,88.1742,176.348,59.9969,119.994
32.008,64.016,59.1353,118.271,88.6992,177.398
59.3396,118.679,29.7489,59.4979,22.0916,44.1831
92.9381,185.876,32.2031,64.4062,85.0574,170.115
99.2257,198.451,11.0594,22.1187,20.1764,40.3527
21.7299,43.4597,94.8576,189.715,15.2188,30.4377
61.9884,123.977,3.50821,7.01641,13.9863,27.9726
79.0153,158.031,66.9771,133.954,65.6465,131.293
11.2762,22.5524,20.6061,41.2122,75.306,150.612
75.6873,151.375,72.8275,145.655,55.596,111.192
48.0374,96.0748,12.0924,24.1848,44.4922,88.9845
8.08133,16.1627,14.5672,29.1344,35.5262,71.0525
9.13765,18.2753,92.9067,185.813,91.8385,183.677
75.7347,151.469,76.3487,152.697,82.9669,165.934
27.7799,55.5597,96.7187,193.437,36.7866,73.5732
33.9637,67.9274,19.2653,38.5306,93.9223,187.845
70.6974,141.395,88.2582,176.516,33.9713,67.9425
9.45347,18.9069,56.1978,112.396,58.1488,116.298
34.7816,69.5631,59.4358,118.872,26.889,53.7781
57.766,115.532,22.3501,44.7003,53.4554,106.911
82.4276,164.855,3.54476,7.08951,53.7359,107.472
67.3944,134.789,6.04998,12.1,99.1333,198.267
53.5794,107.159,2.92857,5.85714,33.7308,67.4615
29.8658,59.7315,25.6978,51.3956,87.4609,174.922
87.8388,175.678,64.2446,128.489,75.3792,150.758
5.15642,10.3128,12.9624,25.9248,14.3136,28.6272
14.2428,28.4856,23.4056,46.8111,95.9,191.8
57.2413,114.483,55.5286,111.057,0.256503,0.513006
77.3109,154.622,54.8864,109.773,3.92533,7.85065
95.2215,190.443,4.37994,8.75987,48.7946,97.5893
38.4954,76.9908,93.106,186.212,70.1822,140.364
93.0965,186.193,29.6091,59.2182,7.66661,15.3332
91.2149,182.43,83.5654,167.131,15.2695,30.539
46.0242,92.0484,11.1227,22.2453,67.0154,134.031
17.8789,35.7579,16.9262,33.8523,53.1254,106.251
28.39,56.78,90.5988,181.198,77.3217,154.643
89.9809,179.962,91.0903,182.181,80.4746,160.949
40.3603,80.7205,54.8702,109.74,42.9689,85.9379
56.7404,113.481,84.2196,168.439,85.578,171.156
71.6524,143.305,85.236,170.472,38.3838,76.7676
84.0586,168.117,70.2911,140.582,45.7548,91.5096
13.2091,26.4183,75.9973,151.995,82.7518,165.504
93.2699,186.54,21.0236,42.0472,45.8543,91.7085
88.2711,176.542,57.8535,115.707,42.1929,84.3858
53.7313,107.463,52.6166,105.233,87.4111,174.822
5.63524,11.2705,92.9757,185.951,7.76675,15.5335
4.01184,8.02367,20.2571,40.5143,97.1604,194.321
51.7235,103.447,53.5673,107.135,57.3844,114.769
35.2135,70.427,25.4397,50.8793,35.6803,71.3606
64.268,128.536,77.0598,154.12,22.7586,45.5173
35.2699,70.5399,57.4012,114.802,32.1251,64.2502
37.7815,75.5631,78.7826,157.565,31.6158,63.2316
48.3585,96.7169,92.6912,185.382,93.6435,187.287
23.9981,47.9962,99.7719,199.544,78.2105,156.421
58.5355,117.071,87.8554,175.711,31.3244,62.6487
20.7393,41.4787,20.1209,40.2419,22.2228,44.4456
86.1299,172.26,49.9154,99.8308,75.9522,151.904
95.8073,191.615,3.32017,6.64034,53.7148,107.43
68.7769,137.554,91.4027,182.805,70.0953,140.191
93.5527,187.105,11.578,23.1559,17.6617,35.3234
88.5298,177.06,99.8403,199.681,63.1482,126.296
69.6725,139.345,76.4475,152.895,88.4428,176.886
8.69663,17.3933,36.8919,73.7838,7.11135,14.2227
35.3461,70.6921,14.5913,29.1827,13.199,26.3981
81.8382,163.676,97.479,194.958,70.3319,140.664
13.312,26.624,82.2461,164.492,78.6451,157.29
24.3895,48.7789,92.1172,184.234,67.5556,135.111
47.5767,95.1533,87.6834,175.367,9.34489,18.6898
42.8939,85.7877,54.2814,108.563,27.0016,54.0031
90.1431,180.286,3.85119,7.70238,52.0205,104.041
34.9298,69.8597,90.2153,180.431,62.248,124.496
63.588,127.176,35.1328,70.2655,94.5321,189.064
76.3015,152.603,25.2334,50.4668,31.3389,62.6778
31.6526,63.3053,53.7161,107.432,59.1674,118.335
46.9834,93.9669,1.46739,2.93477,36.4178,72.8355
17.9598,35.9197,89.1748,178.35,32.2875,64.575
3.68499,7.36998,29.2338,58.4676,29.1311,58.2622
70.7523,141.505,12.3394,24.6787,86.7418,173.484
44.3786,88.7571,58.4802,116.96,89.304,178.608
92.1545,184.309,5.56007,11.1201,44.7894,89.5788
95.3715,190.743,19.2784,38.5568,18.4766,36.9532
93.1451,186.29,63.5632,127.126,22.6764,45.3528
16.7905,33.5809,29.0107,58.0213,42.471,84.942
88.1343,176.269,14.8465,29.693,31.1707,62.3413
71.8866,143.773,55.5335,111.067,52.1624,104.325
89.7584,179.517,66.177,132.354,23.4698,46.9397
60.2315,120.463,10.6999,21.3997,20.797,41.5941
12.1679,24.3357,43.4025,86.805,33.7213,67.4427
81.9009,163.802,86.4823,172.965,13.5659,27.1317
24.7646,49.5291,31.4641,62.9282,57.1675,114.335
50.318,100.636,37.6611,75.3222,52.82,105.64
18.27,36.54,44.424,88.848,4.24789,8.49579
96.9259,193.852,38.789,77.5781,94.3545,188.709
66.8939,133.788,11.9664,23.9329,94.2029,188.406
96.9801,193.96,50.8635,101.727,20.46,40.9199
0.484968,0.969935,49.9484,99.8968,77.4881,154.976
46.3732,92.7465,15.1416,30.2831,14.6611,29.3222
6.7499,13.4998,68.0247,136.049,1.32894,2.65789
69.6067,139.213,12.4604,24.9207,27.9294,55.8588
1.68611,3.37221,23.913,47.8261,71.2263,142.453
60.9531,121.906,69.7391,139.478,65.956,131.912
77.4837,154.967,75.2104,150.421,35.9855,71.9711
57.7888,115.578,24.6913,49.3826,62.576,125.152
63.1202,126.24,1.38792,2.77584,62.4747,124.949
44.7646,89.5293,46.4988,92.9977,96.5475,193.095
76.5544,153.109,22.1108,44.2217,90.0791,180.158
54.74,109.48,13.5929,27.1857,21.1924,42.3848
83.6968,167.394,11.234,22.4679,98.2605,196.521
67.0133,134.027,56.3456,112.691,65.3354,130.671
26.955,53.91,41.1332,82.2664,12.9117,25.8234
57.6087,115.217,98.8481,197.696,5.18423,10.3685
19.9113,39.8226,56.7123,113.425,58.382,116.764
68.8452,137.69,3.75626,7.51252,84.3406,168.681
35.8674,71.7348,0.881183,1.76237,14.6518,29.3037
88.7715,177.543,47.3376,94.6753,14.6241,29.2482
59.4908,118.982,75.2736,150.547,85.9062,171.812
20.182,40.3639,19.7685,39.537,59.438,118.876
39.5245,79.049,8.82693,17.6539,13.4226,26.8452
44.6606,89.3212,8.97322,17.9464,46.1645,92.329
84.3072,168.614,27.3205,54.6409,19.5835,39.1669
5.14055,10.2811,98.5197,197.039,4.02997,8.05994
13.4013,26.8026,26.4059,52.8118,69.7101,139.42
39.2089,78.4177,32.714,65.428,31.2565,62.513
57.2339,114.468,42.3008,84.6017,40.0489,80.0978
59.2225,118.445,91.8017,183.603,9.46308,18.9262
77.2767,154.553,77.6004,155.201,56.7983,113.597
60.9679,121.936,37.5405,75.081,44.1348,88.2697
73.9758,147.952,67.8587,135.717,91.442,182.884
29.7391,59.4783,38.0467,76.0933,13.4282,26.8564
80.4557,160.911,86.2279,172.456,74.3933,148.787
21.2089,42.4177,44.9649,89.9299,40.286,80.572
39.3261,78.6521,41.2592,82.5183,81.1651,162.33
84.9498,169.9,93.3203,186.641,0.874432,1.74886
45.4726,90.9453,51.113,102.226,63.8996,127.799
72.9838,145.968,42.056,84.1121,75.1973,150.395
88.6922,177.384,50.2381,100.476,65.6789,131.358
24.4384,48.8768,25.7283,51.4566,83.8269,167.654
28.6663,57.3326,73.8266,147.653,25.5577,51.1154
79.2608,158.522,11.7721,23.5443,31.3779,62.7559
35.6844,71.3688,31.954,63.9079,55.3102,110.62
71.7954,143.591,99.6594,199.319,68.1983,136.397
29.2382,58.4764,66.6342,133.268,40.0344,80.0689
23.7299,47.4598,4.84755,9.69511,48.925,97.85
1.81285,3.6257,66.3691,132.738,23.7806,47.5612
65.1219,130.244,23.1473,46.2945,62.8989,125.798
11.6658,23.3315,49.1246,98.2492,9.2427,18.4854
80.187,160.374,56.4687,112.937,69.9282,139.856
81.0593,162.119,63.5134,127.027,18.9708,37.9416
44.4468,88.8937,79.0766,158.153,29.3914,58.7829
19.2861,38.5722,76.5282,153.056,78.2839,156.568
8.60894,17.2179,31.7279,63.4557,98.4531,196.906
25.7998,51.5996,94.6933,189.387,74.1061,148.212
7.29575,14.5915,31.1709,62.3418,39.2361,78.4723
29.9503,59.9005,47.3425,94.685,30.405,60.81
5.90701,11.814,45.0271,90.0542,28.9472,57.8944
48.2157,96.4315,84.8989,169.798,83.221,166.442
84.2303,168.461,79.3759,158.752,57.4274,114.855
35.601,71.2021,44.6712,89.3423,60.8909,121.782
78.5842,157.168,99.5635,199.127,95.1662,190.332
5.1539,10.3078,51.1341,102.268,17.6281,35.2561
8.21637,16.4327,32.6517,65.3035,55.1665,110.333
31.4268,62.8537,32.4891,64.9783,59.8742,119.748
22.3134,44.6269,21.6246,43.2491,35.9169,71.8337
67.0318,134.064,51.1137,102.227,71.9546,143.909
46.6963,93.3927,68.5688,137.138,8.46819,16.9364
17.1396,34.2791,53.202,106.404,80.5013,161.003
56.3152,112.63,91.2173,182.435,80.1718,160.344
28.7064,57.4129,14.6062,29.2124,19.2141,38.4282
23.8381,47.6761,25.0478,50.0956,32.6095,65.2191
68.2538,136.508,73.5542,147.108,66.1954,132.391
49.4933,98.9866,12.2613,24.5226,90.904,181.808
22.9379,45.8757,39.4736,78.9471,28.8107,57.6214
72.1928,144.386,86.6211,173.242,70.2901,140.58
90.4188,180.838,26.2397,52.4794,46.1567,92.3133
7.11633,14.2327,61.6767,123.353,67.3885,134.777
57.2454,114.491,56.1272,112.254,43.7247,87.4495
86.2657,172.531,95.6347,191.269,41.1151,82.2302
32.9094,65.8189,20.4371,40.8741,96.093,192.186
65.0478,130.096,24.0864,48.1729,92.0377,184.075
18.1341,36.2683,47.5194,95.0388,14.6845,29.369
97.1268,194.254,48.6993,97.3987,76.765,153.53
51.1489,102.298,25.3603,50.7206,77.2628,154.526
91.3694,182.739,60.2608,120.522,26.167,52.3339
16.6394,33.2787,59.356,118.712,24.6569,49.3138
26.1604,52.3207,73.1328,146.266,98.4527,196.905
86.3005,172.601,28.484,56.968,92.8953,185.791
28.2647,56.5294,59.3285,118.657,10.0509,20.1017
47.4758,94.9517,45.2976,90.5951,85.3189,170.638
30.3182,60.6363,68.6641,137.328,11.0657,22.1315
68.1758,136.352,31.4454,62.8907,63.4129,126.826
72.1011,144.202,32.3112,64.6225,64.3293,128.659
54.5033,109.007,27.0299,54.0598,75.3039,150.608
70.0812,140.162,37.2033,74.4066,21.6964,43.3928
78.1079,156.216,45.4872,90.9743,80.4487,160.897
11.6141,23.2281,81.8813,163.763,20.2136,40.4272
51.9593,103.919,31.3517,62.7034,3.0833,6.1666
87.0145,174.029,61.3954,122.791,47.9743,95.9487
56.105,112.21,74.7832,149.566,39.0988,78.1976
92.7345,185.469,78.3125,156.625,21.8391,43.6783
50.7941,101.588,76.4049,152.81,14.1162,28.2324
68.0201,136.04,36.5102,73.0204,12.1542,24.3084
70.9251,141.85,77.2075,154.415,56.9195,113.839
19.6487,39.2974,1.09823,2.19647,93.9932,187.986
50.0605,100.121,88.2629,176.526,61.4651,122.93
13.8637,27.7274,41.09,82.18,82.7238,165.448
79.4834,158.967,8.0178,16.0356,73.4777,146.955
30.2545,60.5089,49.1315,98.2631,77.3663,154.733
86.794,173.588,88.8403,177.681,86.9093,173.819
1.92813,3.85627,50.4135,100.827,84.8114,169.623
98.2434,196.487,55.9844,111.969,89.0548,178.11
40.3363,80.6727,28.7213,57.4425,52.2908,104.582
58.5748,117.15,15.9656,31.9313,16.1292,32.2584
98.4385,196.877,93.131,186.262,98.0091,196.018
11.9251,23.8502,56.626,113.252,53.9144,107.829
54.0247,108.049,58.3908,116.782,25.6162,51.2325
23.2953,46.5905,50.6184,101.237,71.2321,142.464
26.9049,53.8098,12.2542,24.5085,7.99108,15.9822
35.6095,71.219,87.0955,174.191,75.9618,151.924
25.6301,51.2602,14.304,28.6081,35.5802,71.1603
65.2526,130.505,48.8806,97.7612,70.0896,140.179
44.6754,89.3508,11.3444,22.6889,79.6591,159.318
42.0944,84.1888,60.7879,121.576,55.4064,110.813
6.1122,12.2244,17.3305,34.6611,93.8587,187.717
45.8852,91.7705,82.8961,165.792,74.1997,148.399
15.999,31.9981,31.7887,63.5774,47.6929,95.3858
87.2026,174.405,54.9578,109.916,44.8815,89.763
46.7449,93.4898,52.7778,105.556,75.591,151.182
35.5407,71.0813,74.2923,148.585,74.9412,149.882
44.1234,88.2467,78.1422,156.284,40.4642,80.9283
0.47954,0.95908,27.1741,54.3481,71.2043,142.409
47.7752,95.5505,11.5157,23.0313,90.5177,181.035
3.40784,6.81569,87.61,175.22,51.9103,103.821
96.5576,193.115,89.4739,178.948,60.446,120.892
75.0317,150.063,11.7996,23.5992,58.685,117.37
65.7358,131.472,45.1864,90.3727,13.6355,27.2711
44.8152,89.6304,79.7704,159.541,75.6992,151.398
34.2212,68.4424,72.3109,144.622,95.5883,191.177
51.8989,103.798,38.6954,77.3907,52.5588,105.118
86.4668,172.934,91.0275,182.055,23.043,46.0861
91.3262,182.652,59.675,119.35,7.41511,14.8302
80.2296,160.459,31.0376,62.0752,9.07377,18.1475
40.4682,80.9365,30.6982,61.3965,84.005,168.01
63.7392,127.478,15.5605,31.1209,86.0624,172.125
29.7448,59.4895,81.4371,162.874,47.3959,94.7919
56.6671,113.334,52.2346,104.469,55.3357,110.671
1.72568,3.45136,57.7992,115.598,20.78,41.5599
88.9395,177.879,25.4659,50.9317,79.1241,158.248
24.1273,48.2545,40.351,80.702,55.8543,111.709
17.1218,34.2435,90.0055,180.011,84.986,169.972
34.6766,69.3532,28.4423,56.8846,75.5129,151.026
20.0092,40.0184,24.5149,49.0297,93.1308,186.262
88.3351,176.67,97.2247,194.449,85.1665,170.333
8.72914,17.4583,89.0543,178.109,58.787,117.574
7.84936,15.6987,61.1492,122.298,62.6341,125.268
99.0964,198.193,75.1996,150.399,3.59665,7.19331
65.2411,130.482,12.0928,24.1856,93.799,187.598
79.5641,159.128,34.9439,69.8879,72.7418,145.484
10.4804,20.9607,67.7796,135.559,86.5549,173.11
85.5553,171.111,38.5291,77.0583,16.4641,32.9283
85.9961,171.992,92.958,185.916,56.7141,113.428
62.0183,124.037,13.2663,26.5325,27.0906,54.1812
55.6473,111.295,22.8364,45.6728,98.8977,197.795
1.41517,2.83034,19.7063,39.4125,58.8036,117.607
43.2209,86.4417,99.7441,199.488,81.4776,162.955
31.3977,62.7953,82.6994,165.399,79.3409,158.682
82.5764,165.153,18.7086,37.4173,4.33662,8.67324
32.0135,64.027,26.775,53.55,58.0494,116.099
97.1431,194.286,62.7939,125.588,83.2106,166.421
92.96,185.92,6.45099,12.902,31.5812,63.1624
5.17496,10.3499,37.8428,75.6855,38.5202,77.0403
82.3539,164.708,30.6762,61.3525,85.2819,170.564
60.1951,120.39,24.1495,48.299,66.4957,132.991
95.0447,190.089,92.1393,184.279,28.3984,56.7968
74.2949,148.59,65.076,130.152,55.3092,110.618
12.6514,25.3027,75.1797,150.359,20.9258,41.8516
98.933,197.866,63.4739,126.948,62.8359,125.672
44.445,88.8901,40.5185,81.037,59.0751,118.15
20.0467,40.0934,78.8125,157.625,46.25,92.4999
7.93198,15.864,32.8914,65.7828,27.5873,55.1746
76.2509,152.502,30.8993,61.7986,67.2495,134.499
32.9026,65.8052,48.8878,97.7755,71.9808,143.962
49.3321,98.6642,95.8533,191.707,93.0868,186.174
55.8624,111.725,56.9271,113.854,22.3945,44.7889
97.2427,194.485,6.62011,13.2402,21.9075,43.815
48.5364,97.0727,55.479,110.958,27.9754,55.9509
47.089,94.1781,0.482886,0.965772,4.52319,9.04639
30.9953,61.9906,77.8794,155.759,16.1117,32.2234
0.665843,1.33169,91.5834,183.167,0.50901,1.01802
99.1012,198.202,3.29788,6.59576,3.09223,6.18447
89.102,178.204,86.4012,172.802,0.841355,1.68271
41.3968,82.7936,83.4553,166.911,80.5077,161.015
47.8332,95.6664,17.2291,34.4583,62.6585,125.317
65.9548,131.91,24.946,49.8919,80.7096,161.419
51.8159,103.632,54.4067,108.813,9.3324,18.6648
57.1512,114.302,21.177,42.354,71.5653,143.131
31.7986,63.5973,85.0729,170.146,14.806,29.612
3.26896,6.53791,17.0127,34.0254,85.4379,170.876
34.8808,69.7616,38.3467,76.6934,58.7434,117.487
27.5832,55.1664,75.0196,150.039,2.74483,5.48966
24.5417,49.0833,28.8598,57.7195,23.1157,46.2315
93.1681,186.336,44.2797,88.5594,59.3094,118.619
67.478,134.956,12.6049,25.2097,83.3397,166.679
48.8899,97.7799,58.4194,116.839,52.7728,105.546
17.5358,35.0716,38.1951,76.3901,0.692189,1.38438
18.6251,37.2501,52.8851,105.77,39.3099,78.6199
31.4226,62.8451,9.27966,18.5593,80.3583,160.717
62.9771,125.954,20.396,40.7921,22.2051,44.4103
59.6283,119.257,61.1256,122.251,24.2918,48.5835
97.7638,195.528,35.3696,70.7391,27.3898,54.7797
0.250557,0.501115,97.0251,194.05,29.7993,59.5986
69.4355,138.871,65.6198,131.24,16.154,32.308
44.0376,88.0751,27.8628,55.7256,14.052,28.1039
70.3697,140.739,61.672,123.344,57.7829,115.566
60.5834,121.167,5.46294,10.9259,35.0719,70.1439
63.6758,127.352,39.147,78.294,12.9971,25.9943
38.4531,76.9062,17.5986,35.1972,76.8509,153.702
67.9335,135.867,43.3438,86.6876,47.1802,94.3605
4.28269,8.56537,84.6162,169.232,40.2874,80.5747
86.9565,173.913,71.0497,142.099,92.82,185.64
24.4752,48.9504,41.355,82.7099,73.4723,146.945
98.629,197.258,39.5662,79.1323,82.1584,164.317
37.3135,74.627,61.6011,123.202,83.7673,167.535
79.5595,159.119,98.2077,196.415,73.2239,146.448
21.6053,43.2106,31.141,62.2821,2.82778,5.65556
53.9484,107.897,75.5577,151.115,37.5858,75.1717
95.5165,191.033,7.27896,14.5579,67.6608,135.322
99.5108,199.022,36.0081,72.0162,63.045,126.09
57.7996,115.599,15.8684,31.7368,18.1997,36.3994
93.6203,187.241,68.4737,136.947,1.92331,3.84661
4.18836,8.37672,9.12438,18.2488,17.6499,35.2997
28.1534,56.3067,78.9959,157.992,56.9949,113.99
95.3789,190.758,20.7384,41.4768,37.6129,75.2258
79.999,159.998,97.3403,194.681,30.9899,61.9798
48.0646,96.1293,74.9217,149.843,45.462,90.924
22.001,44.0021,23.1889,46.3778,25.4381,50.8761
10.6601,21.3202,22.1579,44.3158,25.0706,50.1412
21.6138,43.2277,26.8343,53.6685,43.9869,87.9738
18.5385,37.077,13.0141,26.0283,22.0675,44.135
1.06226,2.12451,44.8161,89.6323,66.2956,132.591
23.3701,46.7401,25.8315,51.6629,72.643,145.286
24.7241,49.4483,92.5178,185.036,57.3577,114.715
36.0287,72.0575,74.2052,148.41,16.1469,32.2938
81.7335,163.467,21.1962,42.3925,78.939,157.878
2.4528,4.90561,60.115,120.23,11.7814,23.5628
92.9054,185.811,52.9452,105.89,94.0454,188.091
67.2247,134.449,5.02997,10.0599,58.1755,116.351
75.6024,151.205,81.5636,163.127,58.843,117.686
94.972,189.944,73.1804,146.361,97.8525,195.705
1.5388,3.0776,30.5881,61.1763,34.652,69.3039
44.7378,89.4755,18.3973,36.7946,60.8838,121.768
60.4068,120.814,30.0638,60.1276,69.5699,139.14
27.453,54.906,80.379,160.758,52.2359,104.472
24.9777,49.9553,55.7556,111.511,34.003,68.006
89.897,179.794,75.8802,151.76,58.7276,117.455
59.4796,118.959,14.067,28.1339,57.6875,115.375
90.5792,181.158,34.2532,68.5065,64.1843,128.369
33.9574,67.9149,50.2395,100.479,89.1828,178.366
11.9604,23.9208,31.3245,62.649,83.0614,166.123
89.9052,179.81,94.3091,188.618,52.6427,105.285
97.1912,194.382,10.9518,21.9035,14.1804,28.3608
31.0883,62.1765,50.9729,101.946,86.1013,172.203
55.7551,111.51,69.594,139.188,14.3748,28.7496
56.6116,113.223,80.8233,161.647,28.0262,56.0525
77.3275,154.655,89.0341,178.068,54.6026,109.205
81.7638,163.528,21.9993,43.9985,7.51847,15.0369
6.4043,12.8086,99.3475,198.695,14.6779,29.3557
52.0051,104.01,24.6566,49.3133,72.3256,144.651
66.9911,133.982,77.5545,155.109,4.57135,9.14271
83.0887,166.177,97.5486,195.097,32.3284,64.6567
10.4633,20.9266,10.1122,20.2244,4.71412,9.42824
23.1386,46.2773,23.7042,47.4084,70.1983,140.397
27.5783,55.1566,46.0534,92.1067,48.1802,96.3603
65.6552,131.31,14.6311,29.2621,27.6148,55.2297
73.7712,147.542,86.6046,173.209,89.3738,178.748
54.2878,108.576,69.3778,138.756,37.2381,74.4762
48.879,97.758,55.67,111.34,0.979437,1.95887
90.2343,180.469,6.47868,12.9574,86.214,172.428
94.2865,188.573,93.5809,187.162,45.2291,90.4582
99.1963,198.393,20.1583,40.3165,70.6672,141.334
66.0713,132.143,76.1467,152.293,66.9381,133.876
18.5919,37.1838,65.196,130.392,63.6047,127.209
93.7397,187.479,7.98025,15.9605,30.9437,61.8874
63.5384,127.077,8.48888,16.9778,45.8575,91.715
84.2791,168.558,88.399,176.798,30.9,61.8
98.4626,196.925,61.3039,122.608,76.6319,153.264
26.3138,52.6276,21.8904,43.7809,35.6615,71.3231
69.1094,138.219,28.5614,57.1229,77.0225,154.045
9.7769,19.5538,28.9712,57.9425,1.09803,2.19606
36.5397,73.0793,56.7393,113.479,67.6144,135.229
22.1581,44.3163,57.2556,114.511,26.4258,52.8516
39.292,78.584,82.1552,164.31,33.0967,66.1934
22.6033,45.2066,76.3154,152.631,64.5162,129.032
4.00798,8.01596,68.7694,137.539,30.5718,61.1436
86.2649,172.53,69.753,139.506,25.5915,51.183
35.3964,70.7928,32.9006,65.8011,62.8751,125.75
64.8743,129.749,72.6355,145.271,57.6569,115.314
